epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,202.411,1.16795,0.84216,0.84771,0.59996,0.23173,0.24411,0.13492,1.38738,1.15722,0.8554,0.0002773,0.0002773,0.0002773
75,205.123,1.21128,0.87499,0.84754,0.63828,0.22445,0.24193,0.1169,1.57812,1.16673,0.87181,0.0002674,0.0002674,0.0002674
76,207.783,1.17711,0.82171,0.84434,0.64251,0.23375,0.25465,0.14204,1.29236,1.01008,0.84702,0.0002575,0.0002575,0.0002575
77,210.522,1.04443,0.78932,0.85051,0.59734,0.22825,0.25171,0.14631,1.21495,0.97798,0.83624,0.0002476,0.0002476,0.0002476
78,213.23,1.21447,0.85151,0.86313,0.7096,0.21491,0.24794,0.14002,1.27431,1.01618,0.83856,0.0002377,0.0002377,0.0002377
79,215.89,1.1301,0.8409,0.84325,0.70854,0.22374,0.24662,0.12282,1.54733,1.09632,0.84997,0.0002278,0.0002278,0.0002278
80,218.545,1.2357,0.88358,0.86451,0.6885,0.21716,0.24657,0.13612,1.41119,1.04481,0.84781,0.0002179,0.0002179,0.0002179
81,221.224,1.05648,0.79284,0.84187,0.69907,0.21472,0.25051,0.14555,1.28073,1.03016,0.83998,0.000208,0.000208,0.000208
82,223.898,1.14429,0.86494,0.85441,0.7611,0.21694,0.25257,0.13912,1.29414,1.02571,0.83607,0.0001981,0.0001981,0.0001981
83,226.59,1.06278,0.74927,0.83121,0.72179,0.22504,0.24925,0.14654,1.1863,1.0088,0.83424,0.0001882,0.0001882,0.0001882
84,229.256,1.10119,0.802,0.83038,0.72668,0.22303,0.2533,0.15381,1.16044,1.01046,0.82935,0.0001783,0.0001783,0.0001783
85,231.959,1.00162,0.73971,0.81299,0.74805,0.22987,0.25876,0.15252,1.18328,0.97773,0.82719,0.0001684,0.0001684,0.0001684
86,234.604,0.97079,0.75308,0.82168,0.77095,0.22563,0.26478,0.15425,1.24322,0.93033,0.82574,0.0001585,0.0001585,0.0001585
87,237.302,1.07439,0.79711,0.84151,0.71368,0.23583,0.27736,0.15345,1.28616,0.95162,0.82496,0.0001486,0.0001486,0.0001486
88,240,1.05652,0.77932,0.82391,0.72022,0.2342,0.27728,0.15712,1.21472,0.91537,0.82188,0.0001387,0.0001387,0.0001387
89,242.724,1.08513,0.77014,0.82676,0.74893,0.23122,0.27281,0.14826,1.28525,0.9568,0.82448,0.0001288,0.0001288,0.0001288
90,245.365,1.02473,0.71293,0.84075,0.70411,0.22785,0.2652,0.14491,1.31306,0.96966,0.82709,0.0001189,0.0001189,0.0001189
91,286.631,0.96757,0.74047,0.82136,0.71934,0.22615,0.26613,0.14781,1.26334,0.95104,0.82631,0.000109,0.000109,0.000109
92,289.699,0.97131,0.70986,0.82547,0.71592,0.22676,0.27067,0.15256,1.25382,0.94848,0.82593,9.91e-05,9.91e-05,9.91e-05
93,292.558,0.95837,0.6889,0.81255,0.7369,0.22701,0.27219,0.15337,1.25176,0.94189,0.82591,8.92e-05,8.92e-05,8.92e-05
94,295.418,0.95342,0.69872,0.83319,0.69912,0.23348,0.27453,0.15463,1.25218,0.95864,0.82745,7.93e-05,7.93e-05,7.93e-05
95,298.252,1.01899,0.71741,0.82531,0.79175,0.22615,0.27477,0.15044,1.26987,0.9464,0.82968,6.94e-05,6.94e-05,6.94e-05
96,301.078,0.96929,0.71808,0.80471,0.71611,0.23543,0.27473,0.1495,1.2542,0.92715,0.82828,5.95e-05,5.95e-05,5.95e-05
97,303.911,0.97294,0.6938,0.81174,0.76859,0.2393,0.28103,0.15518,1.25423,0.89197,0.82913,4.96e-05,4.96e-05,4.96e-05
98,306.811,0.98669,0.69163,0.81202,0.76722,0.2418,0.28227,0.15171,1.29613,0.91544,0.83126,3.97e-05,3.97e-05,3.97e-05
99,309.648,0.8834,0.64052,0.81877,0.75795,0.2418,0.27869,0.14621,1.30851,0.91419,0.8334,2.98e-05,2.98e-05,2.98e-05
100,312.474,0.92037,0.67391,0.81854,0.77857,0.23817,0.27893,0.14888,1.29319,0.90149,0.83294,1.99e-05,1.99e-05,1.99e-05
